place,connection_count
Koshi Province,16
Madhesh Province,14
Kathmandu,13
Lumbini Province,10
Bagmati Province,10
Gandaki Province,7
Karnali Province,6
Jhapa,6
Dhanusha District,6
Pokhara,5
Janakpur,5
Nepal,5
Siraha,5
Lalitpur,4
Chainpur,4
Sunsari,4
Jumla,4
Kanchanpur,4
Bhadrapur,4
Bagmati,4
Birgunj,4
Arghakhanchi District,4
Udayapur,4
Khotang,4
Gulmi District,4
Dhulikhel,3
Khurkot,3
Damak,3
Bardibas,3
Siddharthanagar,3
Diktel,3
Bhalubang,3
Salleri,3
Lumbini,3
Birtamod,3
Sandhikharka,3
Solukhumbu,3
Chisapani,3
Salyan District,3
Dhading,3
Sudurpashchim Province,3
Ghorahi,3
Dharan,3
Naubise,3
Chitwan,3
Bajhang District,3
Syangja District,3
Bharatpur,3
Nuwakot,3
Sudur Province,3
Deurali,3
Doti District,3
Kailali District,3
Dhankuta,3
Hetauda,3
Gorusinge,3
Taulihawa,3
Sindhuli District,3
Nijgadh,3
Kalikot District,3
Ilam,3
Panchthar,3
Dailekh District,3
Surkhet District,3
Dadeldhura,3
Biratnagar,3
Narayanghat,3
Nagma,3
Surkhet,3
Chatara,3
Kaski,2
Mugling,2
Dolalghat,2
Surunga,2
Rolpa District,2
Raxaul,2
Mirchaiya,2
Ranibas,2
Katari,2
Dhangadhi,2
Okhaldhunga,2
Karnali,2
Dang District,2
Belaka Municipality,2
Malekhu,2
Manmat,2
Galchhi,2
Indo-Nepal border,2
Tulsipur,2
Parasi,2
Rajbiraj,2
Dharapani,2
Bhumahi,2
Itahari,2
Makwanpur,2
Hilepani,2
Hilihang,2
Gwarko,2
Baitadi District,2
Saptari,2
Dattu,2
Okhartola,2
Nepalganj,2
Bohoratar,2
Satbariya,2
Godar,2
West Rukum,2
Balaju,2
Mugu District,2
Salyan,2
Bidur,2
Kohalpur,2
Saljhandi,2
Ghurmi,2
Tusarpani,2
Manma,2
Tinkar,2
Ridi,2
Darchula Khalanga,2
Jajarkot District,2
Nawalpur,2
Chaudandigadhi Municipality,2
Amargadhi,2
Bhaktapur,2
Kathmandu District,2
Baitadi,2
Dharke,2
Sitapaila,2
Thankot,2
Nagdhunga,2
Chandranigahapur,2
Pyuthan District,2
Triyuga,2
Waling,2
Urlabari,2
Ramdi,2
Butwal,2
Ridi Bazar,2
Belahiya,2
Phidim,2
Jhapa District,2
Charikot,2
Mudhe,2
Bhandara,2
Palpa District,2
Tribeni,2
Kadmaha,2
Birendranagar,2
Nawalparasi East,2
Jiri,2
Jitpur,2
Charali,2
Dullu,2
Bhimad,2
Sindhuli,2
Madhesh,2
Gondrang Chok,2
Gaidakot,2
Dang,2
Kanchanrup Municipality,2
Dhalkebar,2
Baglung,2
Dumkibas,2
Banepa,2
Tansen,2
Hile,2
Putalibazar,2
Syangja,2
Jumla District,2
Sudurpashchim,2
Dumre,2
Gaighat,2
Regmitar,2
Bajura District,2
Maharajganj,2
Darbot,2
Kushma,2
Achham District,2
Samakhushi,2
Gulariya,2
Malangwa,2
Lamidanda,2
Khakraula,2
Pathlaiya,2
Lamahi,2
Lalgadh,2
Gangate,2
Pyuthan,2
Lahan,2
Kapilvastu District,2
Jogbudha,2
Jamunibas,2
Beriyar,2
Mulghat,2
Palpa,2
Gurbhakot Municipality,1
Marim,1
Barkhadada,1
Dolpo Buddha,1
Dolpa District,1
East Rukum,1
Koilabas,1
Arjunkholagau,1
Gadhwa,1
Lukum,1
Patharkot,1
Sarlahi District,1
Damak Border,1
Ratua Khola,1
Betani River,1
View tower,1
Ratuwa Khola,1
Pashuhat,1
Refugee camp,1
Kolti,1
Martadi,1
Sanfebagar,1
Sonbarsa,1
Basantpur,1
Botechaur,1
Ruila Bhanjyang,1
Arunkhola,1
Tanahun District,1
Nawalparasi East District,1
Dedhgaon,1
Arughat,1
Sirdibas,1
Thanapati,1
Parshuram,1
Thanagau,1
Chhahare,1
Kerung bazaar,1
Rasuwa,1
Tikapur,1
Lamki,1
Mityal,1
Terai,1
Indian Highway NH-327,1
East West Highway,1
Chandragadhi,1
Mechipul,1
Mechi Eye Hospital,1
Sainikmod,1
Chaubiskothi,1
Tri Chok,1
Jagatpur,1
Dhanauji Chok,1
Baseni,1
Syauli Bazar,1
Sunauli,1
Siliguri,1
Sama Daiji,1
Lodeghat,1
Bayalpata,1
Saphebagar,1
Darchula District,1
Gaddachauki,1
Darchula,1
Brahmadev,1
Bhimdatta,1
Bagchaur,1
Sharada,1
Dang Airport,1
Musikot Khalanga,1
Satbariya-Ameliya,1
Chhangru,1
Satbanj,1
Syaule,1
Mahakali Municipality,1
Patan Municipality,1
Dadeldhura District,1
Sankhu,1
Mahakali Khalanga,1
Piparaun,1
Laxminia Bazar,1
Janakpur Zero mile,1
Janakpur Airport,1
Bindhi,1
Jatahi,1
Khadbari,1
Sanishchare,1
Tehrathum District,1
Sankhuwasabha District,1
Chainpur Bazar,1
Khalte,1
Dhubakot,1
Mahendra Highway,1
Satyawati Rural Municipality,1
East–west highway,1
Bhiman,1
Rampur,1
Satyavati,1
Badhare R,1
Sautamre,1
Darling,1
Sitalpati,1
Khalanga,1
Raikar,1
Tulsi Chauda,1
Jhapa Chok,1
Chautara,1
Sindhupalchowk District,1
Khutiya,1
Dipayal,1
Uraibhanjyang,1
Nepal-China border,1
Maryadpur,1
